"24 JUOVLAMÁNNU, 2004","2004-12-24"
"2 avr., 1990","1990-04-02"
"23 جويلية 1971","1971-07-23"
"29 apr 1985","1985-04-29"
"08, May 2004","2004-05-08"
"30 ADOOLEESSA 2000","2000-07-30"
"2013 اکتبر 27, Sun","2013-10-27"
"20 كانون الثاني, 1978","1978-01-20"
"05, 6月 1972","1972-06-05"
"24/02/1981","1981-02-24"
"22 ཟླ་བ་གསུམ་པ 1973","1973-03-22"
"27 june 1993","1993-06-27"
"UTORAK, 22. SRPNJA 1986.","1986-07-22"
"22 jan 1987","1987-01-22"
"1 декабрь, 1990","1990-12-01"
"28.09.03","2003-09-28"
"20 ЛІС 1997","1997-11-20"
"1971 ئایار 17, دووشەممە","1971-05-17"
"26 Mar 1977","1977-03-26"
"14 মার্চ 2015","2015-03-14"
"E HËNË, 14 JANAR 2008","2008-01-14"
"19 نومبر 1987","1987-11-19"
"janvier 23 1983","1983-01-23"
"17 M11 2003","2003-11-17"
"Kükürü 27, 2009","2009-08-27"
"wednesday, 15 august 1990","1990-08-15"
"18.07.1980","1980-07-18"
"25.02.75","1975-02-25"
"júlí 29, 1980","1980-07-29"
"15 08 91","1991-08-15"
"27 01 71","1971-01-27"
"11 feb 2017","2017-02-11"
"28 Ntu 1992","1992-07-28"
"डिसेम्बर 4, 1994","1994-12-04"
"3‏/9‏/2006","2006-09-03"
"15 ʻoka 2016","2016-10-15"
"Wednesday, 20 June 1990","1990-06-20"
"vrijdag 22 februari 1985","1985-02-22"
"12, May 2018","2018-05-12"
"9 SET 1975","1975-09-09"
"12 aug. 1974","1974-08-12"
"15 saŋ mbʉ̀ŋ 1972","1972-08-15"
"FRIDAY, MAY 4, 2012","2012-05-04"
"Otibar 18 2014","2014-10-18"
"29 yul 2014","2014-07-29"
"15 10月 2013","2013-10-15"
"14 mai 1973","1973-05-14"
"27 sɛt, 2008","2008-09-27"
"23 Nov 1998","1998-11-23"
"30 Apr 1981","1981-04-30"
"2017 июль 31","2017-07-31"
"1 𑄚𑄧𑄞𑄬𑄟𑄴𑄝𑄧𑄢𑄴 1979","1979-11-01"
"May 13 1978","1978-05-13"
"12/03/1990","1990-03-12"
"Kamis, 13 Januari 2005","2005-01-13"
"24‏/08‏/1978","1978-08-24"
"13.05.1994","1994-05-13"
"ⴰⴽⵕⴰⵙ 3 ⵉⵏⵏⴰⵢⵔ 2007","2007-01-03"
"december 5 1983","1983-12-05"
"25 mart, 1985","1985-03-25"
"de desembre 7 2002","2002-12-07"
"16 10 16","2016-10-16"
"3 11 04","2004-11-03"
"12/11/2001","2001-11-12"
"22 Mutarama 1985","1985-01-22"
"22.02.17","2017-02-22"
"december 17 1972","1972-12-17"
"18 ŋ3 1974","1974-03-18"
"12.07.91","1991-07-12"
"четверг, 2 сентября 1999 г.","1999-09-02"
"12.4.91.","1991-04-12"
"22 Oct 1980","1980-10-22"
"17, Mai 1977","1977-05-17"
"11 May 2002","2002-05-11"
"februari 11 2011","2011-02-11"
"01.02.74","1974-02-01"
"19 Lulju 1982","1982-07-19"
"13 MWEDI WA NNYANO, 1992","1992-05-13"
"12 October, 1974","1974-10-12"
"15 de jul. 2008","2008-07-15"
"21 m11 1984","1984-11-21"
"15 జూన్, 1999","1999-06-15"
"24 يانۋار 1977","1977-01-24"
"март 7 1991","1991-03-07"
"16.01.78","1978-01-16"
"24, DEZ 2017","2017-12-24"
"dimanche 25 mai 2014","2014-05-25"
"15 prill 1999","1999-04-15"
"09, may 1989","1989-05-09"
"13 জুন, 1998","1998-06-13"
"13 Madǝmbii 2002","2002-08-13"
"Mwedi wa Nnyano na Nnyano na M 15, 1995","1995-12-15"
"10 août 1970","1970-08-10"
"8 Apiriri 2009","2009-04-08"
"SEPTEMBER 30, 1974","1974-09-30"
"5 ensil, oóli ú kátánuɛ 1973","1973-05-05"
"டிசம்பர் 8 1978","1978-12-08"
"14, mar 1981","1981-03-14"
"15 julio 1997","1997-07-15"
"10 ŽAN, 2016","2016-01-10"
"22.11.96","1996-11-22"
"01 Iúil 2008","2008-07-01"
"3 ফেব, 1982","1982-02-03"
"26 નવેમ્બર 2005","2005-11-26"
"27 Apr 1976","1976-04-27"
"6 Kújúɔrɔk 1999","1999-06-06"
"Agusta 9 1993","1993-08-09"
"noviembre 3 1976","1976-11-03"
"8 11 83","1983-11-08"
"Friday, 22 July 1983","1983-07-22"
"5 FEBRUARY 1985","1985-02-05"
"8 FEBRUARI 2001","2001-02-08"
"16.01.71","1971-01-16"
"23‏/08‏/2010","2010-08-23"
"3월 14 2000","2000-03-14"
"5 10 03","2003-10-05"
"СУБОТА, 28 ЧЭРВЕНЯ 1997 Г.","1997-06-28"
"10, 2月 1977","1977-02-10"
"TÝSDAGUR, 24. OKTOBER 1978","1978-10-24"
"3 December 1980","1980-12-03"
"5 di nuvenbru di 1988","1988-11-05"
"28 Jul 1999","1999-07-28"
"februari 26 1994","1994-02-26"
"6 agosto, 2015","2015-08-06"
"20 ديسمبر 2017","2017-12-20"
"7 جون 2000","2000-06-07"
"3 SYEINIMÁÁNU 2002","2002-07-03"
"04, feb 1996","1996-02-04"
"2013-08-11","2013-08-11"
"17 Mweri wa tisa 1991","1991-09-17"
"18 jun, 2005","2005-06-18"
"marzo 1 2018","2018-03-01"
"26 اکتوبر 2012","2012-10-26"
"30 dekabr 2006","2006-12-30"
"2 febrewaris 1980","1980-02-02"
"9 Mamǝŋgwãalii, 2014","2014-07-09"
"17.09.11","2011-09-17"
"22 ⵖⵓⵛ, 1980","1980-08-22"
"12.02.91","1991-02-12"
"5 Mar, 1974","1974-03-05"
"18 de gener 1978","1978-01-18"
"Novämber 24, 1989","1989-11-24"
"8 March, 1991","1991-03-08"
"11.05.99","1999-05-11"
"26 маусым 1980","1980-06-26"
"13 ديسمبر 2016","2016-12-13"
"10/7/15","2015-07-10"
"de juny 16, 2004","2004-06-16"
"03.09.95","1995-09-03"
"dicembre 16 1984","1984-12-16"
"04, SIE 2015","2015-08-04"
"10 JUL, 1984","1984-07-10"
"19, DÉC. 1976","1976-12-19"
"17 Jun, 2006","2006-06-17"
"12 NOVEMBRO, 2003","2003-11-12"
"septiembre 5 1980","1980-09-05"
"28 08 75","1975-08-28"
"5 dic. 2011","2011-12-05"
"03.01.97","1997-01-03"
"23 FEB 2011","2011-02-23"
"18/07/2015","2015-07-18"
"DESEMBER 14, 1972","1972-12-14"
"ФЕВРАЛЯ 26 2004","2004-02-26"
"décembre 5, 1983","1983-12-05"
"tisdag 2 mars 2010","2010-03-02"
"14 May 2005","2005-05-14"
"21 March 1999","1999-03-21"
"9 MÄRZ, 1995","1995-03-09"
"11 Oct 2008","2008-10-11"
"26 Mar 1995","1995-03-26"
"04, APR 2011","2011-04-04"
"22 Jan 1990","1990-01-22"
"4 mai 1971","1971-05-04"
"16 04 79","1979-04-16"
"26 02 13","2013-02-26"
"16 May, 1975","1975-05-16"
"1 dec. 1999","1999-12-01"
"20.12.80","1980-12-20"
"20, aug 1972","1972-08-20"
"Septhemba 28, 2012","2012-09-28"
"يناير 31, 2016","2016-01-31"
"13 mar 1986","1986-03-13"
"20, ᎧᏬ 2007","2007-04-20"
"juko 6 1970","1970-08-06"
"29 oct 2014","2014-10-29"
"17 Mwedi Ntandi 1972","1972-01-17"
"21 जुन, 2018","2018-06-21"
"21 ŽUY, 1984","1984-07-21"
"21.05.1988","1988-05-21"
"7 February, 2003","2003-02-07"
"22 Mweri wa kenda 1986","1986-09-22"
"13 décembre 1985","1985-12-13"
"February 19 2015","2015-02-19"
"09 ਅਪ੍ਰੈ 1983","1983-04-09"
"4 09 08","2008-09-04"
"14 maggio 1990","1990-05-14"
"19 tammik. 1981","1981-01-19"
"MAYO 24 2007","2007-05-24"
"7 mars, 1971","1971-03-07"
"20 studenoga, 1972","1972-11-20"
"mata 5, 2011","2011-04-05"
"1995-06-02","1995-06-02"
"6 Tis, 2015","2015-09-06"
"30 ⵎⴰⵢⵢⵓ 1996","1996-05-30"
"སྤྱི་ལོ་2018 ཟླ་༥ ཚེས་04","2018-05-04"
"24 06 76","1976-06-24"
"19 avril 1993","1993-04-19"
"31 mar. 2014","2014-03-31"
"14 galo 1999","1999-10-14"
"kújúɔrɔk 6 1987","1987-06-06"
"08.08.18","2018-08-08"
"30/11/1978","1978-11-30"
"11 octubre 2015","2015-10-11"
"28 Mbu 1997","1997-11-28"
"3 октјабр 1971, базар","1971-10-03"
"феврꙋа́рїа 10 2008","2008-02-10"
"25 сен 1985","1985-09-25"
"1 agosto, 2000","2000-08-01"
"29. augusta 1988","1988-08-29"
"gaskavahkku 6 ođđajagemánnu 2016","2016-01-06"
"23 uku., 2007","2007-12-23"
"1983/2/26","1983-02-26"
"25 May, 2017","2017-05-25"
"de setembre 11 1992","1992-09-11"
"শুক্রবার, 6 অক্টোবর, 1972","1972-10-06"
"7 JEN 1992","1992-01-07"
"12.12.74","1974-12-12"
"27 Ɣuc, 1995","1995-08-27"
"4 11月, 1993","1993-11-04"
"2008-09-16","2008-09-16"
"13 aprili 1978","1978-04-13"
"Peb 4, 1987","1987-02-04"
"19 11 96","1996-11-19"
"25 CAN 2007","2007-01-25"
"24 جنوری 2001","2001-01-24"
"5 နို 2006","2006-11-05"
"6 ມິ.ຖ. 1981","1981-06-06"
"3 مارس 2000","2000-03-03"
"20, σεπ 1996","1996-09-20"
"12 06 05","2005-06-12"
"7/2/1991","1991-02-07"
"19/10/1998","1998-10-19"
"20.09.95","1995-09-20"
"জুন 10, 1987","1987-06-10"
"March 26, 2013","2013-03-26"
"21 Meh 2014","2014-06-21"
"OṢÙ ÌGBÉ 1 1990","1990-04-01"
"13.03.10","2010-03-13"
"08 Mac 1998","1998-03-08"
"27 نوامبر, 2016","2016-11-27"
"03, ئوکتوڤر 1976","1976-10-03"
"juli 7, 1993","1993-07-07"
"15 janvier 2017","2017-01-15"
"3 enero, 1981","1981-01-03"
"08.10.83","1983-10-08"
"JANVIER 10, 1993","1993-01-10"
"11 Okwamwenda 2015","2015-09-11"
"28 Sektanbur 2001","2001-09-28"
"sábado, 22 de febrero de 2003","2003-02-22"
"6 syyskuuta 1974","1974-09-06"
"22 نوفمبر 1994","1994-11-22"
"25 08 11","2011-08-25"
"20, DEC 2001","2001-12-20"
"10 mai 1970","1970-05-10"
"7 OKTOBA, 1973","1973-10-07"
"फेब्रुवारी 4, 1992","1992-02-04"
"28.11.76","1976-11-28"
"12 ago. 1993","1993-08-12"
"25.11.02","2002-11-25"
"9 november 2001","2001-11-09"
"koskokko, čohčâmáánu 7. 1994","1994-09-07"
"8 January 1996","1996-01-08"
"SUNDAY, 15 MARCH 2015","2015-03-15"
"ҚЫРКҮЙЕК 16 2009","2009-09-16"
"17 Tīs 1993","1993-12-17"
"14 oshù owewe, 1983","1983-09-14"
"Арван хоёрдугаар сар 21 1982","1982-12-21"
"Agustus 10, 1986","1986-08-10"
"25 oktober, 1988","1988-10-25"
"21/12/74","1974-12-21"
"26 JANV. 1989","1989-01-26"
"19 பிப்ரவரி 2005","2005-02-19"
"mweri wa saba 15 2017","2017-07-15"
"20 du 2006","2006-11-20"
"Kuramuka kana, 17 Mori ghwa kasanu 1990","1990-05-17"
"23, Фев 1981","1981-02-23"
"April 24 2010","2010-04-24"
"21/04/1993","1993-04-21"
"10 09 97","1997-09-10"
"26 جوٙلا, 1999","1999-07-26"
"04 toukok. 2012","2012-05-04"
"11 UKW. 1985","1985-10-11"
"19 juni, 1983","1983-06-19"
"1mh dhen Fhaoilleach 2013","2013-01-01"
"செப்டம்பர் 13 2000","2000-09-13"
"20 نوفمبر 1998","1998-11-20"
"6 junho, 1988","1988-06-06"
"8 août 2015","2015-08-08"
"20 may 1973","1973-05-20"
"27 mar 2002","2002-03-27"
"22 ИЮЛ. 1982","1982-07-22"
"16.07.85","1985-07-16"
"28 AGO. 1982","1982-08-28"
"Julai 16 1982","1982-07-16"
"5 June 1994","1994-06-05"
"05.12.08","2008-12-05"
"Noowanbur 18 1980","1980-11-18"
"19 AGASTI 1973","1973-08-19"
"29 3月 2012","2012-03-29"
"5 يناير, 2002","2002-01-05"
"ꑍꆪ 2 1991","1991-02-02"
"3/9/1970","1970-09-03"
"30/09/1980","1980-09-30"
"14 মে’ 1989","1989-05-14"
"8 03 16","2016-03-08"
"29 novambra 1977","1977-11-29"
"8 אוג׳ 1984","1984-08-08"
"21 januari 2003","2003-01-21"
"2014年2月18日","2014-02-18"
"3 CTEMBEṚ, 1989","1989-09-03"
"12 кас, 1971","1971-10-12"
"segunda-feira, 21 de outubro de 2013","2013-10-21"
"3 06 71","1971-06-03"
"31 January 1974","1974-01-31"
"18.08.02","2002-08-18"
"ма́рта 31 1985","1985-03-31"
"31 Lapa le sapa 2001","2001-07-31"
"16.11.17","2017-11-16"
"11 de fev de 2018","2018-02-11"
"22 نويابىر 1972","1972-11-22"
"18 mul 2016","2016-01-18"
"15 fbl 1989","1989-02-15"
"12, de nov. 1996","1996-11-12"
"29 БЭС ЫЙЫН, 2016","2016-06-29"
"30 08 16","2016-08-30"
"26 February 1997","1997-02-26"
"7 mar. 1975","1975-03-07"
"18 فروری, 1985","1985-02-18"
"13 mai 1990","1990-05-13"
"14/10/90","1990-10-14"
"11, ENE. 1981","1981-01-11"
"16-ado-1974","1974-07-16"
"04.12.06","2006-12-04"
"20 nov, 2004","2004-11-20"
"march 10, 2011","2011-03-10"
"17.07.85","1985-07-17"
"05.08.71","1971-08-05"
"3 septembrie 1976","1976-09-03"
"Aprili 13 2014","2014-04-13"
"28.01.74","1974-01-28"
"1 nov., 1976","1976-11-01"
"lǝndí 2 ŋwíí akǝ táanin 1985","1985-09-02"
"favrer 12 2006","2006-02-12"
"30 03 87","1987-03-30"
"28 НОЯБ. 1983","1983-11-28"
"28/03/1997","1997-03-28"
"13 OCT, 1996","1996-10-13"
"26 JULY 1986","1986-07-26"
"15 Tho̱o̱r 1972","1972-08-15"
"22, أبريل 1970","1970-04-22"
"ජූනි 21, 2012","2012-06-21"
"18/1/1996","1996-01-18"
"ஜனவரி 1 2009","2009-01-01"
"Septhemba 18 1995","1995-09-18"
"mardi 10 septembre 1974","1974-09-10"
"1994 M. LAPKRIČIO 5 D., ŠEŠTADIENIS","1994-11-05"
"5 mai 2006","2006-05-05"
"3 avi, 1979","1979-12-03"
"15. 9. 1997","1997-09-15"
"21 Okwakashatu 2003","2003-03-21"
"8 de jan de 1974","1974-01-08"
"16 MARS 1990","1990-03-16"
"11 DAH 1995","1995-05-11"
"22-09-89","1989-09-22"
"29.05.85","1985-05-29"
"2 Bìòôm 1980","1980-10-02"
"13 11月 1984","1984-11-13"
"5 Lapa le waare 1998","1998-02-05"
"11 jun, 2002","2002-06-11"
"avril 16, 1987","1987-04-16"
"25.11.70","1970-11-25"
"14 EPREL 2000","2000-04-14"
"1994 ж. 03 ақп.","1994-02-03"
"25/7/2005","2005-07-25"
"3 𑄎𑄚𑄪𑄠𑄢𑄨, 1990","1990-01-03"
"Friday, 04 May 1979","1979-05-04"
"1977 30-نويابىر، چارشەنبە","1977-11-30"
"dimɔ́di 30, 1975","1975-01-30"
"febrero 23 1978","1978-02-23"
"14.08.79","1979-08-14"
"12, ফেব 1971","1971-02-12"
"16 LIT, 1988","1988-12-16"
"24 june 1980","1980-06-24"
"17 feb., 1999","1999-02-17"
"PONEDELJAK, 03. OKTOBAR 1977.","1977-10-03"
